Mileage,Age,Engine_Size,Price,Fuel_Type_Electric,Transmission_Automatic,Fuel_Type_Petrol,Fuel_Type_Diesel,Transmission_Semi-Automatic,Transmission_Manual
0.9666479951454044,0.1304347826086956,0.8,0.3988098889638672,False,False,False,True,False,True
0.0177746214015644,0.4782608695652173,0.25,0.6191031225078216,False,True,False,False,False,False
0.7715839451590747,0.1304347826086956,0.8,0.5626035212563646,False,True,False,True,False,False
0.5366261894759304,0.0,0.25,0.5999631924421814,True,False,False,False,False,True
0.9555584451957508,0.8695652173913044,0.4,0.0531869210477884,False,False,False,False,True,False
0.5263501843812725,0.6956521739130435,0.425,0.3215753634746334,False,True,True,False,False,False
0.4653176492554731,0.5652173913043479,0.6,0.5648733206551745,True,True,False,False,False,False
0.525036509492468,0.9565217391304348,0.925,0.3650082817005091,True,False,False,False,True,False
0.3290022072405492,0.391304347826087,0.4,0.4862278387828967,False,False,False,False,False,True
0.3590900300744861,0.7826086956521738,0.525,0.2788172504754309,False,False,True,False,False,True
0.989587292696101,0.4347826086956521,0.075,0.2369793264216919,False,True,False,False,False,False
0.142603743640013,0.6086956521739131,0.875,0.5793509600637997,False,False,False,False,False,True
0.4429484999433186,0.6956521739130435,0.95,0.5424207103858659,False,True,False,False,False,False
0.6300671507925394,0.826086956521739,0.3249999999999999,0.1729955217471321,False,False,False,False,True,False
0.4864464760837818,0.8695652173913044,0.35,0.2442181461260045,False,True,True,False,False,False
0.2003120811410967,0.6956521739130435,0.55,0.4721796208821545,False,True,False,True,False,False
0.1270597021892358,0.2608695652173913,0.475,0.7874976995276364,True,True,False,False,False,False
0.1371556604717226,0.7391304347826086,0.875,0.5874486227838783,True,False,False,False,False,True
0.858229806416335,1.0,0.6,0.0215324213238451,False,False,False,True,True,False
0.1154133408019418,0.0869565217391304,0.125,0.564811974725477,False,False,True,False,False,True
0.0708050759864231,0.2173913043478261,0.2,0.6977486043800993,False,True,False,False,False,False
0.1393328932189035,1.0,0.8999999999999999,0.4210171155143856,False,False,False,False,True,False
0.4555751161968779,0.8695652173913044,0.25,0.2617017360898104,True,False,False,False,False,True
0.3330732657157528,0.7391304347826086,0.4499999999999999,0.3497331452058155,False,False,False,False,False,True
0.0661605350724521,0.3043478260869565,0.725,0.6381203607140666,False,False,True,False,True,False
0.3072898953727969,0.5217391304347827,0.2,0.4205876940065026,False,True,False,True,False,False
0.2644854328792153,0.0434782608695652,0.575,0.761487025335869,True,False,False,False,False,True
0.4757103513580198,0.2608695652173913,0.3249999999999999,0.5303355622354456,True,False,False,False,True,False
0.7026560238995472,0.1304347826086956,0.925,0.6492853199190234,True,False,False,False,True,False
